topk,run,test nodes,fault coverage,node_coverage(%),avg_rmse,max_rmse,escaped_nodes,escaped_faults
50,40,10,95.00,100.00,0.0000,0.0000,0,1
50,41,10,75.00,100.00,0.0000,0.0000,0,5
50,42,10,80.00,100.00,0.0000,0.0000,0,4
50,43,10,90.00,100.00,0.0000,0.0000,0,2
50,44,10,80.00,100.00,0.0000,0.0000,0,4
50,45,10,90.00,100.00,0.0000,0.0000,0,2
50,46,10,90.00,100.00,0.0000,0.0000,0,2
50,47,10,75.00,90.00,0.0000,0.0000,1,5
50,48,10,85.00,100.00,0.0000,0.0000,0,3
50,49,10,90.00,100.00,0.0000,0.0000,0,2
50,5,10,80.00,90.00,0.0000,0.0000,1,4
50,50,10,95.00,100.00,0.0000,0.0000,0,1
50,51,10,90.00,100.00,0.0000,0.0000,0,2
50,52,10,90.00,100.00,0.0000,0.0000,0,2
50,53,10,80.00,90.00,0.0000,0.0000,1,4
50,54,10,80.00,90.00,0.0000,0.0000,1,4
50,55,10,90.00,100.00,0.0000,0.0000,0,2
50,56,10,90.00,100.00,0.0000,0.0000,0,2
50,57,10,80.00,100.00,0.0000,0.0000,0,4
50,58,10,80.00,90.00,0.0000,0.0000,1,4
50,59,10,80.00,100.00,0.0000,0.0000,0,4
50,6,10,75.00,90.00,0.0000,0.0000,1,5
50,60,10,55.00,80.00,0.0000,0.0000,2,9
50,61,10,90.00,100.00,0.0000,0.0000,0,2
50,62,10,75.00,100.00,0.0000,0.0000,0,5
50,63,10,90.00,100.00,0.0000,0.0000,0,2
50,64,10,90.00,100.00,0.0000,0.0000,0,2
50,65,10,85.00,100.00,0.0000,0.0000,0,3
50,66,10,80.00,100.00,0.0000,0.0000,0,4
50,67,10,85.00,100.00,0.0000,0.0000,0,3
50,68,10,90.00,100.00,0.0000,0.0000,0,2
50,69,10,85.00,100.00,0.0000,0.0000,0,3
50,7,10,85.00,100.00,0.0000,0.0000,0,3
50,70,10,85.00,90.00,0.0000,0.0000,1,3
50,71,10,75.00,90.00,0.0000,0.0000,1,5
50,72,10,95.00,100.00,0.0000,0.0000,0,1
50,73,10,90.00,100.00,0.0000,0.0000,0,2
50,74,10,100.00,100.00,0.0000,0.0000,0,0
50,75,10,90.00,100.00,0.0000,0.0000,0,2
50,76,10,95.00,100.00,0.0000,0.0000,0,1
50,77,10,90.00,100.00,0.0000,0.0000,0,2
50,78,10,95.00,100.00,0.0000,0.0000,0,1
50,79,10,85.00,100.00,0.0000,0.0000,0,3
50,8,10,90.00,100.00,0.0000,0.0000,0,2
50,80,10,70.00,90.00,0.0000,0.0000,1,6
